,word,count,cumsum,cumsum_percent
0,that,5780144318,5780144318,2.055882474898798
1,with,3728407608,9508551926,3.382002972737646
2,from,2435309730,11943861656,4.248194250914919
3,this,2073314950,14017176606,4.985631179155069
4,have,2004192852,16021369458,5.698482750682948
5,which,1982417434,18003786892,6.403589238734211
6,were,1638924997,19642711889,6.986522292587741
7,their,1475023760,21117735649,7.511158933371928
8,they,1399465778,22517201427,8.008921101394463
9,been,1135241132,23652442559,8.41270381332347
10,more,1124058520,24776501079,8.812509092377175
11,would,1085670908,25862171987,9.198660660654447
12,will,1057625262,26919797249,9.57483694995312
13,other,977408192,27897205441,9.9224816214707
14,than,874665974,28771871415,10.233582927667687
15,there,847782920,29619654335,10.535122465758253
16,time,845894700,30465549035,10.835990401516215
17,about,842674136,31308223171,11.135712846656189
18,into,840488586,32148711757,11.434657935090895
19,when,825675958,32974387715,11.728334466092257
20,also,819580027,33793967742,12.019842795571027
21,only,804340506,34598308248,12.305930730259275
22,them,803749112,35402057360,12.591808317853491
23,these,754863988,36156921348,12.860298438252146
24,some,744932297,36901853645,13.125256053517766
25,such,731892244,37633745889,13.385575581054166
26,what,681324230,38315070119,13.62790907086322
27,could,672626820,38987696939,13.867149064764167
28,first,599874946,39587571885,14.08051266275803
29,between,586031438,40173603323,14.288952400044868
30,most,572205388,40745808711,14.492474486088375
31,should,559047676,41304856387,14.691316635434394
32,your,554033800,41858890187,14.888375448719474
33,said,535636130,42394526317,15.078890576371276
34,over,533145046,42927671363,15.268519674945372
35,then,524541989,43452213352,15.45508883709854
36,like,518199328,43970412680,15.639402040770964
37,made,494462834,44464875514,15.815272645202711
38,people,480774670,44945650184,15.986274641701348
39,through,477963494,45423613678,16.156276758758523
40,very,476455426,45900069104,16.325742485995377
41,many,475798188,46375867292,16.494974446735807
42,must,459813998,46835681290,16.658521148719963
43,work,456524889,47292206179,16.82089797999171
44,those,455435988,47747642167,16.982887510815637
45,where,452571526,48200213693,17.143858209426767
46,well,451913220,48652126913,17.304594761675094
47,after,451299161,49103426074,17.465112905339275
48,because,449130230,49552556304,17.62485960334625
49,even,442291490,49994847794,17.782173897429914
50,used,430234818,50425082612,17.93519987286499
51,same,429367569,50854450181,18.087917385064138
52,each,416243646,51270693827,18.23596697864167
53,being,405922100,51676615927,18.3803454034096
54,years,405528714,52082144641,18.524583908594416
55,much,402404430,52484549071,18.667711168044036
56,life,396190474,52880739545,18.80862824682388
57,both,388738302,53269477847,18.9468947361077
58,before,384010208,53653488055,19.08347953630913
59,under,368087260,54021575315,19.214400860316722
60,make,362073270,54383648585,19.343183127587146
61,system,334136214,54717784799,19.46202873918415
62,just,330867234,55048652033,19.57971163955405
63,part,328520824,55377172857,19.696559968513178
64,good,327545065,55704717922,19.81306123938561
65,three,327534064,56032251986,19.92955859742095
66,long,323761188,56356013174,20.044714018435066
67,does,322668322,56678681496,20.15948072872965
68,back,320031244,56998712740,20.27330948278182
69,number,311465630,57310178370,20.384091618144122
70,know,309046334,57619224704,20.494013257993792
71,down,308266632,57927491336,20.60365757333576
72,different,306382318,58233873654,20.712631675631705
73,found,302920026,58536793680,20.820374309463517
74,world,299707712,58836501392,20.9269743870384
75,without,294501180,59131002572,21.03172260464147
76,during,291742404,59422744976,21.13548958044182
77,right,289575626,59712320602,21.23848587636428
78,case,289200862,60001521464,21.34134887617899
79,might,289043024,60290564488,21.444155736153544
80,state,285937820,60576502308,21.54585813676976
81,against,280621028,60857123336,21.64566946012317
82,another,279662438,61136785774,21.74513983206202
